sample_word,known,bucket_size
pre-performance,True,1
overbalance,False,1
cadenced,True,1
descendent,True,1
carthusian,False,1
cavil,False,1
detox,True,1
carnival-like,True,1
noncoding,False,1
ology,True,1
playset,True,1
quarter-point,True,1
footwell,False,1
hemorrhaging,True,1
medium-large,True,1
fathering,True,1
problem-centered,True,1
conjunctiva,False,1
seediness,False,1
guitar-driven,False,1
hard-bodied,True,1
tucked,True,1
taurine,True,1
ten-mile,True,1
information-age,True,1
kilowatt-hour,True,1
followership,True,1
run-and-gun,True,1
urban/suburban,True,1
essentialist,True,1
lip-synching,True,1
uniformitarian,False,1
lectionary,False,1
soundwave,True,1
extra-regional,True,1
applecart,False,1
bass-baritone,True,1
humidification,True,1
tobacco-stained,True,1
billon,True,1
mousehole,True,1
single-layer,True,1
signaler,True,1
malamute,True,1
siltstone,False,1
adventuress,False,1
asset-management,True,1
nerdiness,True,1
restenosis,False,1
ancient-looking,True,1
music-video,True,1
aquavit,False,1
expatiate,False,1
leavening,True,2
uncoerced,True,2
red-light,True,2
surfacing,True,2
ingenuously,True,2
honeycombed,False,2
half-cup,True,2
grass,True,2
crampy,True,3
fresh-picked,True,3
fox,True,3
occlusal,False,3
direct-injection,True,3
cetacean,False,4
clamping,True,4
finned,False,4
white-male,True,5
ten-inch,True,5
inadvertence,True,5
hydroquinone,True,6
monoamine,False,6
co-wife,False,7
unfollowed,True,7
german-style,True,8
now-forgotten,True,9
debauch,False,10
hanseatic,False,10
coffin-like,True,11
mobilizer,True,12
islamophobia,True,13
paratha,True,14
stuccoed,False,15
musicological,True,17
accretive,False,18
freeze-up,True,19
sabayon,False,21
pied-a-terre,False,22
non-empty,True,24
thralldom,False,26
medallist,True,28
epicurean,True,30
forty-minute,True,32
savoir-faire,True,35
pushed,True,37
phenological,True,40
sporozoite,False,43
blastomere,False,46
grandmom,True,49
egomania,True,53
butadiene,True,57
sandaled,True,61
reinvigoration,True,65
liberatory,True,69
anti-intellectual,True,74
vibrio,False,79
downforce,True,84
shouter,True,90
in-town,True,95
immoderate,True,102
husk,True,108
artilleryman,True,115
three-letter,True,122
lethally,True,130
threshing,True,138
carthaginian,False,146
ob-gyn,True,155
strangler,True,165
strictness,True,175
southpaw,False,185
clustered,True,196
freestanding,True,207
co-anchor,True,219
unsympathetic,True,232
ballistics,True,245
polka,True,259
amorphous,True,274
repress,True,289
asphalt,True,305
uh-oh,True,322
sympathetic,True,339
